timestamp_utc,user_id,chat_id,message_id,input_type,user_text,text_model,vision_model,ai_answer,rating
2026-01-21T16:20:33+00:00,1,87,1601,text,что такое гравитация,qwen2.5:7b,llava:7b,"Гравитация — сила притяжения между телами, имеющими массу. На Земле она притягивает все к центру планеты.",4
2026-01-21T17:45:19+00:00,27,62,1701,photo,реши уравнение,qwen2.5:7b,llava:7b,"Уравнение нечеткое. Если это квадратное, то решение через дискриминант D=b²-4ac.",3
2026-01-21T18:10:22+00:00,27,62,1702,text,x^2-5x+6=0,qwen2.5:7b,llava:7b,"D=25-24=1. x1=(5+1)/2=3, x2=(5-1)/2=2. Ответ: 2 и 3.",5
2026-01-21T19:55:41+00:00,23,100,1801,text,объясни закон ома,qwen2.5:7b,llava:7b,Закон Ома: сила тока в проводнике прямо пропорциональна напряжению и обратно пропорциональна сопротивлению. I = U/R.,4
2026-01-21T20:00:15+00:00,23,100,1802,text,пример,qwen2.5:7b,llava:7b,"Если U=12В, R=4Ом, то I=12/4=3А.",5
2026-01-22T07:30:08+00:00,38,71,1901,text,что такое днк,qwen2.5:7b,llava:7b,"ДНК — дезоксирибонуклеиновая кислота, молекула, хранящая генетическую информацию в виде последовательности нуклеотидов.",4
2026-01-22T08:22:14+00:00,42,108,2001,text,система x+y=5 x-y=1,qwen2.5:7b,llava:7b,Складываем: 2x=6 → x=3. Тогда y=5-3=2.,5
2026-01-22T09:45:30+00:00,14,83,2101,text,что такое квантовая физика,qwen2.5:7b,llava:7b,"Квантовая физика изучает поведение частиц на микроуровне, где энергия квантуется, а свойства описываются вероятностно.",4
2026-01-22T11:10:45+00:00,54,124,2201,photo,площадь прямоугольника,qwen2.5:7b,llava:7b,Площадь прямоугольника S = a×b. Нужны длины сторон. На фото не видно чисел.,2
2026-01-22T11:11:30+00:00,54,124,2202,text,5 и 10,qwen2.5:7b,llava:7b,Тогда S = 5×10 = 50.,5
2026-01-22T13:25:18+00:00,22,97,2301,text,кто открыл америку,qwen2.5:7b,llava:7b,Америку открыл Христофор Колумб в 1492 году.,5
2026-01-22T14:40:22+00:00,61,81,2401,text,что такое иммунитет,qwen2.5:7b,llava:7b,"Иммунитет — защитная система организма, которая борется с инфекциями и болезнями.",4
2026-01-22T16:05:37+00:00,33,85,2501,text,как работает gps,qwen2.5:7b,llava:7b,GPS использует сигналы от спутников для определения местоположения по времени задержки сигнала.,4
2026-01-22T17:20:49+00:00,8,94,2601,text,формула объема шара,qwen2.5:7b,llava:7b,V = (4/3)πr³.,5
2026-01-22T18:35:12+00:00,39,67,2701,photo,найти корни уравнения,qwen2.5:7b,llava:7b,Не вижу уравнение. Пришлите текстом.,1
2026-01-22T19:50:25+00:00,17,103,2801,text,что такое блокчейн,qwen2.5:7b,llava:7b,"Блокчейн — цепочка блоков с данными, защищенная криптографией и распределенная среди участников.",4
2026-01-22T21:05:38+00:00,15,75,2901,text,объясни эволюцию,qwen2.5:7b,llava:7b,Эволюция — постепенное изменение видов в течение поколений под действием естественного отбора.,5
2026-01-22T22:20:51+00:00,28,112,3001,text,что такое синапс,qwen2.5:7b,llava:7b,"Синапс — место контакта между нейронами, где передается нервный импульс.",4
2026-01-22T23:35:14+00:00,4,91,3101,text,реши 15/3+4,qwen2.5:7b,llava:7b,"15/3=5, 5+4=9.",5
2026-01-23T08:10:27+00:00,35,65,3201,text,кто такой эйнштейн,qwen2.5:7b,llava:7b,"Альберт Эйнштейн — физик-теоретик, автор теории относительности, Нобелевский лауреат.",5
2026-01-23T09:25:40+00:00,9,119,3301,photo,переведи текст,qwen2.5:7b,llava:7b,Текст размыт. Не могу перевести.,2
2026-01-23T10:40:53+00:00,44,98,3401,text,что такое машинное обучение,qwen2.5:7b,llava:7b,"Машинное обучение — раздел ИИ, где системы учатся на данных без явного программирования.",4
2026-01-23T11:55:06+00:00,11,69,3501,text,формула ускорения,qwen2.5:7b,llava:7b,"a = (v - v₀)/t, где v — конечная скорость, v₀ — начальная, t — время.",5
2026-01-23T13:10:19+00:00,50,106,3601,text,что такое фотон,qwen2.5:7b,llava:7b,"Фотон — элементарная частица, квант света, переносчик электромагнитного взаимодействия.",4
2026-01-23T14:25:32+00:00,43,78,3701,text,объясни падежи,qwen2.5:7b,llava:7b,"Падежи — это формы слова, показывающие его роль в предложении (именительный, родительный, дательный и т.д.).",4
2026-01-23T15:40:45+00:00,19,120,3801,text,реши 8x=24,qwen2.5:7b,llava:7b,x=24/8=3.,5
2026-01-23T16:55:58+00:00,45,89,3901,photo,реши задачу,qwen2.5:7b,llava:7b,Не вижу условия. Опишите текстом.,1
2026-01-23T18:11:11+00:00,12,63,4001,text,что такое экосистема,qwen2.5:7b,llava:7b,"Экосистема — сообщество живых организмов и их физической среды, взаимодействующих как единое целое.",5
2026-01-23T19:26:24+00:00,51,104,4101,text,формула периметра квадрата,qwen2.5:7b,llava:7b,"P = 4a, где a — сторона квадрата.",5
2026-01-23T20:41:37+00:00,18,84,4201,text,кто такой менделеев,qwen2.5:7b,llava:7b,"Дмитрий Менделеев — русский химик, создавший периодическую систему элементов.",4
2026-01-23T21:56:50+00:00,57,105,4301,text,что такое вакцина,qwen2.5:7b,llava:7b,"Вакцина — препарат, который учит иммунную систему распознавать и бороться с возбудителем болезни.",5
2026-01-24T07:12:03+00:00,25,76,4401,text,реши 3(x+2)=15,qwen2.5:7b,llava:7b,3(x+2)=15 → x+2=5 → x=3.,5
2026-01-24T08:27:16+00:00,5,113,4501,photo,посчитай площадь,qwen2.5:7b,llava:7b,Не вижу фигуры с размерами. Уточните.,2
2026-01-24T09:42:29+00:00,36,86,4601,text,что такое демократия,qwen2.5:7b,llava:7b,"Демократия — форма правления, при которой власть принадлежит народу и осуществляется через выборы.",4
2026-01-24T10:57:42+00:00,47,122,4701,text,формула объема цилиндра,qwen2.5:7b,llava:7b,"V = πr²h, где r — радиус основания, h — высота.",5
2026-01-24T12:12:55+00:00,46,99,4801,text,что такое рн,qwen2.5:7b,llava:7b,"pH — мера кислотности раствора. pH<7 — кислота, pH=7 — нейтральный, pH>7 — щелочь.",4
2026-01-24T13:28:08+00:00,13,70,4901,text,реши 12-5*2,qwen2.5:7b,llava:7b,"Сначала умножение: 5*2=10, затем 12-10=2.",5
2026-01-24T14:43:21+00:00,52,111,5001,photo,определи растение,qwen2.5:7b,llava:7b,"Извините, я не ботаник. Не могу точно определить растение по фото.",3
2026-01-24T15:58:34+00:00,20,95,5101,text,что такое термодинамика,qwen2.5:7b,llava:7b,"Термодинамика — раздел физики, изучающий теплоту, работу и их превращения.",4
2026-01-24T17:13:47+00:00,58,114,5201,text,кто такой гагарин,qwen2.5:7b,llava:7b,"Юрий Гагарин — первый человек, полетевший в космос 12 апреля 1961 года.",5
2026-01-24T18:28:00+00:00,29,80,5301,text,формула силы тока,qwen2.5:7b,llava:7b,"I = U/R (закон Ома). Также I = Q/t, где Q — заряд, t — время.",4
2026-01-24T19:43:13+00:00,6,92,5401,text,реши x/2=7,qwen2.5:7b,llava:7b,x=7*2=14.,5
2026-01-24T20:58:26+00:00,31,96,5501,photo,помоги с химией,qwen2.5:7b,llava:7b,Сложно помочь без конкретного вопроса. Задайте вопрос текстом.,3
2026-01-24T22:13:39+00:00,41,68,5601,text,что такое градиент,qwen2.5:7b,llava:7b,Градиент показывает направление наибольшего возрастания функции. Это вектор из частных производных.,4
2026-01-24T23:28:52+00:00,21,107,5701,text,формула площади поверхности куба,qwen2.5:7b,llava:7b,"S = 6a², где a — длина ребра.",5
2026-01-25T00:44:05+00:00,53,77,5801,text,что такое синергия,qwen2.5:7b,llava:7b,"Синергия — эффект, когда результат совместного действия превышает сумму отдельных действий.",4
2026-01-25T01:59:18+00:00,10,115,5901,text,реши 9+6/3,qwen2.5:7b,llava:7b,"Сначала деление: 6/3=2, затем 9+2=11.",5
2026-01-25T03:14:31+00:00,40,102,6001,photo,реши уравнение,qwen2.5:7b,llava:7b,Не вижу уравнение. Пришлите текстом.,1
2026-01-25T04:29:44+00:00,7,116,6101,text,что такое суверенитет,qwen2.5:7b,llava:7b,Суверенитет — верховенство государственной власти внутри страны и независимость во внешней политике.,4
2026-01-25T05:44:57+00:00,30,93,6201,text,формула кинетической энергии,qwen2.5:7b,llava:7b,"E = mv²/2, где m — масса, v — скорость.",5
2026-01-25T07:00:10+00:00,56,66,6301,text,кто такой шекспир,qwen2.5:7b,llava:7b,"Уильям Шекспир — английский поэт и драматург, автор 'Гамлета', 'Ромео и Джульетты' и др.",4
